,Zidovudina,Tenofovir,Rilpivirina,Ritonavir,Nevirapina,Lopinavir,Lamivudina,Fosamprenavir,Etravirina,Emtricitabina,Efavirenz,Doravirina,Abacavir,Atazanavir
0,2125,10179,125853,553,4560,28217,1021,76636,202542,43060,4432,37788,3414,52209
1,2598,24488,,1102,4560,30130,2274,,,51006,29033,37788,10942,52209
2,4777,28307,,5117,5506,63849,2598,,,62558,37228,,14167,52209
3,,38948,,28217,10903,,6552,,,65277,48747,,30957,
4,7355,39561,,30130,14303,,7355,,,66656,49794,,32775,
5,7609,40170,,57640,15942,,8633,,,66956,65277,,49325,
6,,40365,,63849,34209,,10737,,,67867,66656,,69172,
7,9034,44324,,101707,56304,,10812,,,67867,95730,,80673,
8,,51006,,,,,14961,,,67867,96932,,87702,
9,15856,53090,,,,,15856,,,95730,99505,,118383,
10,17490,57011,,,,,17490,,,96932,,,,
11,27161,62558,,,,,27161,,,96932,,,,
12,33928,65277,,,,,30957,,,97405,,,,
0,34209,66656,,,,,32775,,,117323,,,,
1,56304,99505,,,,,33928,,,125853,,,,
2,,117323,,,,,34209,,,127464,,,,
,,125853,,,,,37788,,,,,,,
,,,,,,,40170,,,,,,,
,,,,,,,40365,,,,,,,
,,,,,,,47898,,,,,,,
,,,,,,,53090,,,,,,,
,,,,,,,56304,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,57011,,,,,,,
,,,,,,,69172,,,,,,,
,,,,,,,80673,,,,,,,
,,,,,,,82605,,,,,,,
,,,,,,,87702,,,,,,,
,,,,,,,94194,,,,,,,
,,,,,,,99505,,,,,,,
,,,,,,,118383,,,,,,,
